"","X","police_department","driver_race","num_stops","num_searches","num_hits","search_rate","hit_rate","thresholds","total_stops"
"240",648,"McLennan County","Asian",3183,26,11,0.00816839459629281,0.423076923076923,0.266980724851586,200874
"241",649,"McLennan County","Black",28605,1276,550,0.0446075860863485,0.431034482758621,0.24697465797776,200874
"242",650,"McLennan County","Hispanic",38006,1775,449,0.0467031521338736,0.252957746478873,0.135456384277141,200874
"243",652,"McLennan County","White",131080,3181,1083,0.0242676228257553,0.340458975165042,0.229777049921036,200874
"244",655,"Medina County","Black",3692,84,10,0.0227518959913326,0.119047619047619,0.195370505035753,162949
"245",656,"Medina County","Hispanic",77007,1941,321,0.0252055007986287,0.165378670788253,0.118694534172146,162949
"246",657,"Medina County","White",82250,1683,407,0.0204620060790274,0.241830065359477,0.148040358043592,162949
"247",661,"Midland County","Asian",706,16,6,0.0226628895184136,0.375,0.215494598322052,122992
"248",662,"Midland County","Black",7081,405,128,0.0571953113966954,0.316049382716049,0.222774634109094,122992
"249",663,"Midland County","Hispanic",43723,1916,626,0.0438213297349221,0.326722338204593,0.15108368724637,122992
"250",665,"Midland County","White",71482,1742,618,0.0243697714109846,0.354764638346728,0.243193434021665,122992
"251",679,"Montague County","Asian",1059,14,12,0.0132200188857413,0.857142857142857,0.283797947315716,89565
"252",680,"Montague County","Black",6021,233,111,0.0386978907158279,0.476394849785408,0.289649893641422,89565
"253",681,"Montague County","Hispanic",8776,229,96,0.0260938924339107,0.419213973799127,0.219819607753478,89565
"254",683,"Montague County","White",73709,950,484,0.0128885210761237,0.509473684210526,0.35916767482186,89565
"255",684,"Montgomery County","Asian",8171,104,34,0.0127279402765879,0.326923076923077,0.262498278968976,526453
"256",685,"Montgomery County","Black",56697,2880,1092,0.0507963384306048,0.379166666666667,0.242042543401713,526453
"257",686,"Montgomery County","Hispanic",103406,3849,1327,0.0372222114770903,0.344764873993245,0.168219335371339,526453
"258",688,"Montgomery County","White",358179,12250,4507,0.0342007767066188,0.367918367346939,0.209061092038327,526453
"259",701,"Nacogdoches County","Asian",1017,6,2,0.00589970501474926,0.333333333333333,0.141323500931492,138428
"260",702,"Nacogdoches County","Black",26138,425,115,0.0162598515571199,0.270588235294118,0.198356176931077,138428
"261",703,"Nacogdoches County","Hispanic",17333,319,43,0.0184042000807708,0.134796238244514,0.120520908688123,138428
"262",704,"Nacogdoches County","White",93940,693,169,0.00737704918032787,0.243867243867244,0.184259642612166,138428
"263",705,"Navarro County","Asian",4095,96,21,0.0234432234432234,0.21875,0.187507638254998,112587
"264",706,"Navarro County","Black",23988,1559,575,0.0649908287477072,0.368826170622194,0.207676646994085,112587
"265",707,"Navarro County","Hispanic",17767,1155,271,0.0650081611977261,0.234632034632035,0.111019612847431,112587
"266",709,"Navarro County","White",66737,2328,698,0.0348831982258717,0.299828178694158,0.194769984773719,112587
"267",713,"Nolan County","Asian",1539,24,4,0.0155945419103314,0.166666666666667,0.252397624707316,105504
"268",714,"Nolan County","Black",9480,646,247,0.0681434599156118,0.382352941176471,0.216398604467335,105504
"269",715,"Nolan County","Hispanic",23002,1210,363,0.0526041213807495,0.3,0.136285222409661,105504
"270",717,"Nolan County","White",71483,2086,846,0.0291817634962159,0.405560882070949,0.244347830910265,105504
"271",718,"Nueces County","Asian",1600,5,1,0.003125,0.2,0.191408130275475,160263
"272",719,"Nueces County","Black",5536,94,35,0.0169797687861272,0.372340425531915,0.235300081335967,160263
"273",720,"Nueces County","Hispanic",86476,1110,238,0.012835931356677,0.214414414414414,0.171505943973767,160263
"274",721,"Nueces County","White",66651,626,220,0.00939220716868464,0.351437699680511,0.213729397157099,160263
"275",730,"Orange County","Asian",2131,23,1,0.010793054903801,0.0434782608695652,0.140513557387826,137621
"276",731,"Orange County","Black",19433,774,138,0.0398291565893069,0.178294573643411,0.159267802129365,137621
"277",732,"Orange County","Hispanic",10391,378,52,0.0363776344913868,0.137566137566138,0.0981153948585895,137621
"278",734,"Orange County","White",105666,2203,520,0.0208487119792554,0.23604176123468,0.146540637728028,137621
"279",735,"Palo Pinto County","Asian",1007,16,3,0.015888778550149,0.1875,0.210870902212253,105657
"280",736,"Palo Pinto County","Black",7196,436,142,0.0605892162312396,0.325688073394495,0.195472855711201,105657
"281",737,"Palo Pinto County","Hispanic",15726,795,173,0.0505532239603205,0.217610062893082,0.117274096033507,105657
