,police_department,driver_race,num_stops,num_searches,num_hits,search_rate,hit_rate
776,Randall County,White,112835,1254,434,0.011113572916205077,0.34609250398724084
792,Refugio County,Asian,1252,7,3,0.005591054313099041,0.42857142857142855
793,Refugio County,Black,5319,166,40,0.031208873848467756,0.24096385542168675
794,Refugio County,Hispanic,38454,1281,159,0.03331252925573412,0.12412177985948478
795,Refugio County,White,39186,629,130,0.016051651099882613,0.2066772655007949
811,Rusk County,Asian,897,13,1,0.014492753623188406,0.07692307692307693
812,Rusk County,Black,25783,1114,414,0.043206764146918514,0.37163375224416517
813,Rusk County,Hispanic,14536,650,171,0.04471656576774904,0.2630769230769231
814,Rusk County,White,91574,2514,896,0.027453207242230326,0.3564041368337311
820,San Jacinto County,Asian,1183,7,1,0.005917159763313609,0.14285714285714285
821,San Jacinto County,Black,18381,488,204,0.026549154017735704,0.4180327868852459
822,San Jacinto County,Hispanic,10860,210,52,0.019337016574585635,0.24761904761904763
824,San Jacinto County,White,77242,965,362,0.012493203179617307,0.37512953367875645
825,San Patricio County,Black,6761,82,28,0.012128383375240349,0.34146341463414637
826,San Patricio County,Hispanic,80193,1034,204,0.012893893481974736,0.19729206963249515
827,San Patricio County,White,77570,701,176,0.009036998839757638,0.25106990014265335
849,Smith County,Asian,3411,45,9,0.013192612137203167,0.2
850,Smith County,Black,70120,3371,934,0.048074729035938395,0.27706911895579944
851,Smith County,Hispanic,32634,1493,353,0.04574983146411718,0.23643670462156732
853,Smith County,White,207418,4734,1477,0.022823477229555775,0.31199831009716944
857,Starr County,Black,1135,42,3,0.03700440528634361,0.07142857142857142
858,Starr County,Hispanic,265397,6470,813,0.024378572478211888,0.12565687789799074
860,Starr County,White,36798,1087,111,0.02953964889396163,0.10211591536338546
882,Taylor County,Asian,1175,7,3,0.005957446808510639,0.42857142857142855
883,Taylor County,Black,8043,206,88,0.025612333706328483,0.42718446601941745
884,Taylor County,Hispanic,18201,322,137,0.01769133564089885,0.4254658385093168
886,Taylor County,White,92342,1148,425,0.012432046089536722,0.3702090592334495
898,Titus County,Asian,1262,15,2,0.011885895404120444,0.13333333333333333
899,Titus County,Black,18831,609,194,0.03234028994742712,0.3185550082101806
900,Titus County,Hispanic,18221,591,122,0.03243510235442621,0.20642978003384094
901,Titus County,White,77382,1102,300,0.014241037967485978,0.27223230490018147
902,Tom Green County,Asian,848,6,2,0.007075471698113208,0.3333333333333333
903,Tom Green County,Black,5831,186,63,0.031898473675184356,0.3387096774193548
904,Tom Green County,Hispanic,36809,1144,328,0.0310793555923823,0.2867132867132867
906,Tom Green County,White,103434,1506,576,0.014560009281280817,0.38247011952191234
907,Travis County,Asian,9379,104,20,0.011088602196396204,0.19230769230769232
908,Travis County,Black,29743,1173,437,0.03943785092290623,0.37254901960784315
909,Travis County,Hispanic,70460,2582,799,0.03664490491058757,0.3094500387296669
